MyName;EnemyName;TotalGames;Won;Lost;Percentage
SKolotienko;Adler;2;1;1;50%
SKolotienko;Angor;27;19;8;70%
SKolotienko;Antmsu;16;12;4;75%
SKolotienko;FDoKE;1;1;0;100%
SKolotienko;Karkun;15;8;7;53%
SKolotienko;Lev;11;10;1;90%
SKolotienko;MagAlex;12;10;2;83%
SKolotienko;Mr.Smile;12;7;5;58%
SKolotienko;Romka;1;0;1;0%
SKolotienko;SDil;20;15;5;75%
SKolotienko;rekcahd;2;1;1;50%
SKolotienko;santa324;27;10;17;37%
SKolotienko;tyamgin;18;12;6;66%
SKolotienko;ud1;18;14;4;77%

;Adler;Angor;Antmsu;FDoKE;Karkun;Lev;MagAlex;Mr.Smile;Romka;SDil;SKolotienko;rekcahd;santa324;tyamgin;ud1
Adler;x;;;;;;;;;;1;;;;
Angor;;x;;;;;;;;;8;;;;
Antmsu;;;x;;;;;;;;4;;;;
FDoKE;;;;x;;;;;;;;;;;
Karkun;;;;;x;;;;;;7;;;;
Lev;;;;;;x;;;;;1;;;;
MagAlex;;;;;;;x;;;;2;;;;
Mr.Smile;;;;;;;;x;;;5;;;;
Romka;;;;;;;;;x;;1;;;;
SDil;;;;;;;;;;x;5;;;;
SKolotienko;1;19;12;1;8;10;10;7;;15;x;1;10;12;14
rekcahd;;;;;;;;;;;1;x;;;
santa324;;;;;;;;;;;17;;x;;
tyamgin;;;;;;;;;;;6;;;x;
ud1;;;;;;;;;;;4;;;;x
