MyName;EnemyName;TotalGames;Won;Lost;Percentage
SKolotienko;Adler;1;1;0;100%
SKolotienko;AdmiralShadow;1;1;0;100%
SKolotienko;Angor;30;13;17;43%
SKolotienko;Antmsu;11;7;4;63%
SKolotienko;Karkun;9;5;4;55%
SKolotienko;Lev;14;11;3;78%
SKolotienko;MagAlex;9;7;2;77%
SKolotienko;Mr.Smile;13;8;5;61%
SKolotienko;SDil;12;4;8;33%
SKolotienko;santa324;46;20;26;43%
SKolotienko;tyamgin;21;12;9;57%
SKolotienko;ud1;16;7;9;43%

;Adler;AdmiralShadow;Angor;Antmsu;Karkun;Lev;MagAlex;Mr.Smile;SDil;SKolotienko;santa324;tyamgin;ud1
Adler;x;;;;;;;;;;;;
AdmiralShadow;;x;;;;;;;;;;;
Angor;;;x;;;;;;;17;;;
Antmsu;;;;x;;;;;;4;;;
Karkun;;;;;x;;;;;4;;;
Lev;;;;;;x;;;;3;;;
MagAlex;;;;;;;x;;;2;;;
Mr.Smile;;;;;;;;x;;5;;;
SDil;;;;;;;;;x;8;;;
SKolotienko;1;1;13;7;5;11;7;8;4;x;20;12;7
santa324;;;;;;;;;;26;x;;
tyamgin;;;;;;;;;;9;;x;
ud1;;;;;;;;;;9;;;x
